Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
0.25;2003-01-27;1.0837;10.6;-0.015061102;1;1.0837;23039.44172;0.106003508;-489254.434;0.25297619;1.07957885;200000;[(200000.0,_1.079578850386243)];;23039.44172;0;1;200k;scenario15;180;fix;First
0.25;2003-10-03;1.1695;11.05;-0.010485141;1;1.1695;25921.60864;0.110502442;-488840.3604;0.25297619;1.166402022;200000;[(200000.0,_1.1664020222396516)];;25921.60864;0;1;200k;scenario16;180;fix;First
0.25;2004-09-01;1.2184;10.325;-0.003235619;1;1.2184;25237.7053;0.103250754;-489617.6257;0.25297619;1.217403106;200000;[(200000.0,_1.2174031055337482)];;25237.7053;0;1;200k;scenario17;180;fix;First
0.25;2005-09-26;1.2038;9.175;0.018729419;1;1.2038;22170.68674;0.091746656;-490956.7003;0.25297619;1.209517255;200000;[(200000.0,_1.2095172550097841)];;22170.68674;0;1;200k;scenario18;180;fix;First
0.25;2005-11-07;1.1812;9.2;0.02069725;1;1.1812;21814.78644;0.091996305;-490948.0517;0.25297619;1.187400878;200000;[(200000.0,_1.1874008780725624)];;21814.78644;0;1;200k;scenario19;180;fix;First
0.25;1999-05-28;1.0427;8.85;0.025410844;1;1.0427;18527.13048;0.088495464;-491348.0993;0.25297619;1.049424419;200000;[(200000.0,_1.0494244188302504)];;18527.13048;0;1;200k;scenario2;180;fix;First
0.25;2006-02-07;1.1967;8.775;0.021252723;1;1.1967;21081.08153;0.087746206;-491387.9017;0.25297619;1.203151304;200000;[(200000.0,_1.2031513042155635)];;21081.08153;0;1;200k;scenario20;180;fix;First
0.25;2006-07-31;1.2766;8.175;0.023517878;1;1.2766;20953.35229;0.081745801;-492025.5633;0.25297619;1.284217723;200000;[(200000.0,_1.2842177229125709)];;20953.35229;0;1;200k;scenario21;180;fix;First
0.25;2006-08-29;1.2779;8.125;0.021677639;1;1.2779;20845.40486;0.08124613;-492059.2566;0.25297619;1.28492716;200000;[(200000.0,_1.2849271603207484)];;20845.40486;0;1;200k;scenario22;180;fix;First
0.25;2006-11-29;1.3198;7.325;0.017196902;1;1.3198;19407.90385;0.07324693;-492836.4494;0.25297619;1.325554174;200000;[(200000.0,_1.3255541742604873)];;19407.90385;0;1;200k;scenario23;180;fix;First
0.25;2007-01-08;1.3006;6.475;0.016020518;1;1.3006;16906.90504;0.06474714;-493699.0447;0.25297619;1.30588178;200000;[(200000.0,_1.3058817799775742)];;16906.90504;0;1;200k;scenario24;180;fix;First
0.25;2007-02-15;1.313;5.95;0.015186422;1;1.313;15684.57907;0.059497288;-494231.8363;0.25297619;1.31805399;200000;[(200000.0,_1.31805398958174)];;15684.57907;0;1;200k;scenario25;180;fix;First
0.25;2007-04-16;1.3539;6.05;0.013828509;1;1.3539;16443.93463;0.060497531;-494110.5146;0.25297619;1.35864462;200000;[(200000.0,_1.3586446202416154)];;16443.93463;0;1;200k;scenario26;180;fix;First
0.25;2007-05-25;1.3428;5.25;0.012727161;1;1.3428;14153.11737;0.052497728;-494923.9383;0.25297619;1.347130339;200000;[(200000.0,_1.3471303385244826)];;14153.11737;0;1;200k;scenario27;180;fix;First
0.25;2007-07-11;1.3747;5.725;0.010575787;1;1.3747;15798.09016;0.057248112;-494401.9905;0.25297619;1.378382827;200000;[(200000.0,_1.3783828274073386)];;15798.09016;0;1;200k;scenario28;180;fix;First
0.25;2012-04-05;1.3142;10.6675;0.002485462;1;1.3142;28128.4409;0.106674556;-489317.2218;0.25297619;1.31502658;200000;[(200000.0,_1.3150265797853322)];;28128.4409;0;1;200k;scenario29;180;fix;First
0.25;1999-11-29;1.0154;11.35;0.027342029;1;1.0154;23135.01634;0.11349512;-488804.3581;0.25297619;1.022447748;200000;[(200000.0,_1.02244774844875)];;23135.01634;0;1;200k;scenario3;180;fix;First
0.25;2012-09-21;1.2968;8.8125;0.003666464;1;1.2968;22931.30165;0.088124345;-491192.161;0.25297619;1.298003376;200000;[(200000.0,_1.2980033764303558)];;22931.30165;0;1;200k;scenario30;180;fix;First
0.25;2013-04-10;1.3083;8.09;0.002388568;1;1.3083;21237.61379;0.080899574;-491907.3377;0.25297619;1.30909078;200000;[(200000.0,_1.3090907802560035)];;21237.61379;0;1;200k;scenario31;180;fix;First
0.25;2013-07-26;1.3277;7.8525;0.001313056;1;1.3277;20919.26896;0.078524766;-492135.4757;0.25297619;1.328141098;200000;[(200000.0,_1.3281410978940607)];;20919.26896;0;1;200k;scenario32;180;fix;First
0.25;2013-09-19;1.3521;7.39;0.000995033;1;1.3521;20048.95627;0.073899822;-492596.8372;0.25297619;1.352440393;200000;[(200000.0,_1.352440392989234)];;20048.95627;0;1;200k;scenario33;180;fix;First
0.25;2013-11-06;1.3474;7.5075;0.00052518;1;1.3474;20296.58887;0.075074906;-492473.8751;0.25297619;1.347579025;200000;[(200000.0,_1.3475790248095003)];;20296.58887;0;1;200k;scenario34;180;fix;First
0.25;2013-12-10;1.3739;7.11;-0.000442095;1;1.3739;19599.51528;0.071100103;-492862.1941;0.25297619;1.373746352;200000;[(200000.0,_1.3737463522907851)];;19599.51528;0;1;200k;scenario35;180;fix;First
0.25;2014-01-08;1.3616;7.1125;-0.000265878;1;1.3616;19430.98704;0.071125062;-492861.6414;0.25297619;1.361508421;200000;[(200000.0,_1.3615084207697379)];;19430.98704;0;1;200k;scenario36;180;fix;First
0.25;2014-03-20;1.3833;6.7225;-0.000470953;1;1.3833;18658.18848;0.06722511;-493250.2838;0.25297619;1.383135204;200000;[(200000.0,_1.3831352035992017)];;18658.18848;0;1;200k;scenario37;180;fix;First
0.25;2014-04-18;1.3814;6.0525;-0.000842732;1;1.3814;16775.4295;0.060525196;-493916.9392;0.25297619;1.381105529;200000;[(200000.0,_1.381105529162103)];;16775.4295;0;1;200k;scenario38;180;fix;First
0.25;2014-05-23;1.3656;6.1275;-0.000157714;1;1.3656;16789.47026;0.061275037;-493850.6483;0.25297619;1.365545517;200000;[(200000.0,_1.3655455165325376)];;16789.47026;0;1;200k;scenario39;180;fix;First
0.25;2000-03-01;0.9635;12.9;0.025146624;1;0.9635;24946.79553;0.128995512;-487213.7917;0.25297619;0.96964884;200000;[(200000.0,_0.9696488396738975)];;24946.79553;0;1;200k;scenario4;180;fix;First
0.25;2014-06-23;1.3592;5.1875;0.001141536;1;1.3592;14148.20071;0.051874796;-494812.9945;0.25297619;1.359592568;200000;[(200000.0,_1.3595925683982175)];;14148.20071;0;1;200k;scenario40;180;fix;First
0.25;2014-11-03;1.2517;7.8225;0.002630936;1;1.2517;19647.25005;0.07822453;-492178.8965;0.25297619;1.252533364;200000;[(200000.0,_1.2525333639652498)];;19647.25005;0;1;200k;scenario41;180;fix;First
0.25;2015-01-28;1.1381;11.5325;0.003376128;1;1.1381;26334.36125;0.115324397;-488454.4422;0.25297619;1.139072444;200000;[(200000.0,_1.1390724436612285)];;26334.36125;0;1;200k;scenario42;180;fix;First
0.25;2015-12-04;1.094;10.155;0.009463467;1;1.094;22294.34961;0.101548311;-489886.3286;0.25297619;1.096622208;200000;[(200000.0,_1.0966222083951849)];;22294.34961;0;1;200k;scenario43;180;fix;First
0.25;2016-01-04;1.0858;10;0.009723764;1;1.0858;21789.78335;0.099998264;-490044.9756;0.25297619;1.088474226;200000;[(200000.0,_1.0884742263346938)];;21789.78335;0;1;200k;scenario44;180;fix;First
0.25;2001-05-24;0.8567;11.3;-0.005495719;1;0.8567;19420.04186;0.11300128;-488626.1385;0.25297619;0.85550977;200000;[(200000.0,_0.8555097695075005)];;19420.04186;0;1;200k;scenario5;180;fix;First
0.25;2001-10-12;0.9026;11.35;-0.012611164;1;0.9026;20548.08344;0.113502937;-488526.6892;0.25297619;0.899725002;200000;[(200000.0,_0.8997250018800342)];;20548.08344;0;1;200k;scenario6;180;fix;First
0.25;2001-11-15;0.8818;10.85;-0.013476489;1;0.8818;19189.87391;0.108503138;-489017.8076;0.25297619;0.878798859;200000;[(200000.0,_0.8787988589362102)];;19189.87391;0;1;200k;scenario7;180;fix;First
0.25;2001-12-24;0.8888;10.65;-0.014360883;1;0.8888;18985.29609;0.106503344;-489210.0009;0.25297619;0.885576882;200000;[(200000.0,_0.8855768821191512)];;18985.29609;0;1;200k;scenario8;180;fix;First
0.25;2002-01-28;0.8651;10.425;-0.015184949;1;0.8651;18088.29245;0.104253536;-489427.1311;0.25297619;0.861783153;200000;[(200000.0,_0.8617831532277189)];;18088.29245;0;1;200k;scenario9;180;fix;First
0.25;1999-03-30;1.073;9.45;0.020543091;1;1.073;20354.5503;0.094496333;-490691.3309;0.25297619;1.078590802;200000;[(200000.0,_1.0785908024172406)];;20354.5503;0;1;200k;scenario1;190;fix;First
0.25;2001-12-24;0.8888;10.65;-0.014360883;1;0.8888;18985.29609;0.106503344;-489210.0009;0.25297619;0.885576882;200000;[(200000.0,_0.8855768821191512)];;18985.29609;0;1;200k;scenario10;190;fix;First
0.25;2002-01-28;0.8651;10.425;-0.015184949;1;0.8651;18088.29245;0.104253536;-489427.1311;0.25297619;0.861783153;200000;[(200000.0,_0.8617831532277189)];;18088.29245;0;1;200k;scenario11;190;fix;First
0.25;2002-02-26;0.869;8.875;-0.015533762;1;0.869;15467.79449;0.088753618;-490958.6264;0.25297619;0.865591816;200000;[(200000.0,_0.8655918159972654)];;15467.79449;0;1;200k;scenario12;190;fix;First
0.25;2002-03-27;0.8767;8.45;-0.014435083;1;0.8767;14857.83955;0.084503362;-491388.2425;0.25297619;0.873504365;200000;[(200000.0,_0.8735043646404795)];;14857.83955;0;1;200k;scenario13;190;fix;First
0.25;2002-08-01;0.9775;10.875;-0.016159628;1;0.9775;21320.32263;0.108753763;-488973.4914;0.25297619;0.973512136;200000;[(200000.0,_0.9735121356451726)];;21320.32263;0;1;200k;scenario14;190;fix;First
0.25;2002-09-10;0.9797;10.775;-0.015477051;1;0.9797;21172.10731;0.107753604;-489077.6947;0.25297619;0.975871655;200000;[(200000.0,_0.9758716552023239)];;21172.10731;0;1;200k;scenario15;190;fix;First
0.25;2002-11-06;0.9997;9.4;-0.016576815;1;0.9997;18846.55156;0.094003861;-490430.9872;0.25297619;0.995516497;200000;[(200000.0,_0.995516496527317)];;18846.55156;0;1;200k;scenario16;190;fix;First
0.25;2003-01-27;1.0837;10.6;-0.015061102;1;1.0837;23039.44172;0.106003508;-489254.434;0.25297619;1.07957885;200000;[(200000.0,_1.079578850386243)];;23039.44172;0;1;200k;scenario17;190;fix;First
0.25;2003-10-02;1.1718;11.275;-0.01031149;1;1.1718;26501.50676;0.112752401;-488617.4184;0.25297619;1.168747271;200000;[(200000.0,_1.1687472710297402)];;26501.50676;0;1;200k;scenario18;190;fix;First
0.25;2004-09-01;1.2184;10.325;-0.003235619;1;1.2184;25237.7053;0.103250754;-489617.6257;0.25297619;1.217403106;200000;[(200000.0,_1.2174031055337482)];;25237.7053;0;1;200k;scenario19;190;fix;First
0.25;1999-05-27;1.0445;8.85;0.025154752;1;1.0445;18558.98811;0.088495509;-491345.818;0.25297619;1.051167925;200000;[(200000.0,_1.0511679248028718)];;18558.98811;0;1;200k;scenario2;190;fix;First
0.25;2005-03-25;1.294;8.775;0.009402712;1;1.294;22787.92643;0.087748321;-491281.4451;0.25297619;1.297081653;200000;[(200000.0,_1.2970816526192919)];;22787.92643;0;1;200k;scenario20;190;fix;First
0.25;2005-09-26;1.2038;9.175;0.018729419;1;1.2038;22170.68674;0.091746656;-490956.7003;0.25297619;1.209517255;200000;[(200000.0,_1.2095172550097841)];;22170.68674;0;1;200k;scenario21;190;fix;First
