"","sigma_s","sigma_e","theta","k_d","lambda","lambda_real","v_bar","time","price","price_cond","k_tilde"
"14151",1,1,1,1.5,0.5,0.95,5,14.91,6.38263341960076,-0.70292483187262,5.09583636924526
"14152",1,1,1,1.5,0.5,0.95,5,15.01,6.38449802471456,-0.704789436986414,5.12786551047244
"14153",1,1,1,1.5,0.5,0.95,5,15.11,6.38633300681115,-0.706624419083005,5.15989465169963
"14154",1,1,1,1.5,0.5,0.95,5,15.21,6.38813883651197,-0.708430248783833,5.19192379292681
"14155",1,1,1,1.5,0.5,0.95,5,15.31,6.38991597696171,-0.71020738923357,5.223952934154
"14156",1,1,1,1.5,0.5,0.95,5,15.41,6.39166488394704,-0.711956296218898,5.25598207538119
"14157",1,1,1,1.5,0.5,0.95,5,15.51,6.39338600601355,-0.713677418285407,5.28801121660837
"14158",1,1,1,1.5,0.5,0.95,5,15.61,6.39507978458078,-0.715371196852636,5.32004035783556
"14159",1,1,1,1.5,0.5,0.95,5,15.71,6.39674665405543,-0.717038066327283,5.35206949906274
"14160",1,1,1,1.5,0.5,0.95,5,15.81,6.39838704194276,-0.718678454214616,5.38409864028993
"14161",1,1,1,1.5,0.5,0.95,5,15.91,6.40000136895626,-0.720292781228122,5.41612778151712
"14162",1,1,1,1.5,0.5,0.95,5,16.01,6.40159004912555,-0.721881461397403,5.4481569227443
"14163",1,1,1,1.5,0.5,0.95,5,16.11,6.40315348990251,-0.723444902174366,5.48018606397149
"14164",1,1,1,1.5,0.5,0.95,5,16.21,6.40469209226586,-0.724983504537719,5.51221520519867
"14165",1,1,1,1.5,0.5,0.95,5,16.31,6.40620625082396,-0.726497663095816,5.54424434642586
"14166",1,1,1,1.5,0.5,0.95,5,16.41,6.407696353916,-0.727987766187861,5.57627348765305
"14167",1,1,1,1.5,0.5,0.95,5,16.51,6.40916278371165,-0.729454195983503,5.60830262888023
"14168",1,1,1,1.5,0.5,0.95,5,16.61,6.410605916309,-0.730897328580858,5.64033177010742
"14169",1,1,1,1.5,0.5,0.95,5,16.71,6.4120261218311,-0.732317534102959,5.6723609113346
"14170",1,1,1,1.5,0.5,0.95,5,16.81,6.41342376452084,-0.733715176792694,5.70439005256179
"14171",1,1,1,1.5,0.5,0.95,5,16.91,6.41479920283435,-0.73509061510621,5.73641919378897
"14172",1,1,1,1.5,0.5,0.95,5,17.01,6.416152789533,-0.73644420180486,5.76844833501616
"14173",1,1,1,1.5,0.5,0.95,5,17.11,6.41748487177381,-0.737776284045668,5.80047747624335
"14174",1,1,1,1.5,0.5,0.95,5,17.21,6.41879579119851,-0.739087203470368,5.83250661747053
"14175",1,1,1,1.5,0.5,0.95,5,17.31,6.42008588402117,-0.740377296293026,5.86453575869772
"14176",1,1,1,1.5,0.5,0.95,5,17.41,6.42135548111441,-0.741646893386267,5.8965648999249
"14177",1,1,1,1.5,0.5,0.95,5,17.51,6.42260490809428,-0.742896320366137,5.92859404115209
"14178",1,1,1,1.5,0.5,0.95,5,17.61,6.42383448540376,-0.744125897675616,5.96062318237927
"14179",1,1,1,1.5,0.5,0.95,5,17.71,6.42504452839494,-0.745335940666797,5.99265232360646
"14180",1,1,1,1.5,0.5,0.95,5,17.81,6.42623534740991,-0.746526759681769,6.02468146483365
"14181",1,1,1,1.5,0.5,0.95,5,17.91,6.42740724786035,-0.747698660132211,6.05671060606083
"14182",1,1,1,1.5,0.5,0.95,5,18.01,6.42856053030586,-0.748851942577722,6.08873974728802
"14183",1,1,1,1.5,0.5,0.95,5,18.11,6.42969549053104,-0.749986902802901,6.1207688885152
"14184",1,1,1,1.5,0.5,0.95,5,18.21,6.43081241962136,-0.751103831893216,6.15279802974239
"14185",1,1,1,1.5,0.5,0.95,5,18.31,6.43191160403779,-0.75220301630965,6.18482717096957
"14186",1,1,1,1.5,0.5,0.95,5,18.41,6.43299332569032,-0.75328473796218,6.21685631219676
"14187",1,1,1,1.5,0.5,0.95,5,18.51,6.43405786201021,-0.754349274282069,6.24888545342395
"14188",1,1,1,1.5,0.5,0.95,5,18.61,6.43510548602117,-0.755396898293028,6.28091459465113
"14189",1,1,1,1.5,0.5,0.95,5,18.71,6.43613646640937,-0.756427878681231,6.31294373587832
"14190",1,1,1,1.5,0.5,0.95,5,18.81,6.43715106759238,-0.757442479864234,6.3449728771055
"14191",1,1,1,1.5,0.5,0.95,5,18.91,6.43814954978693,-0.758440962058784,6.37700201833269
"14192",1,1,1,1.5,0.5,0.95,5,19.01,6.4391321690757,-0.759423581347558,6.40903115955988
"14193",1,1,1,1.5,0.5,0.95,5,19.11,6.44009917747299,-0.760390589744846,6.44106030078706
"14194",1,1,1,1.5,0.5,0.95,5,19.21,6.44105082298932,-0.76134223526118,6.47308944201425
"14195",1,1,1,1.5,0.5,0.95,5,19.31,6.44198734969509,-0.762278761966944,6.50511858324143
"14196",1,1,1,1.5,0.5,0.95,5,19.41,6.44290899778311,-0.763200410054972,6.53714772446862
"14197",1,1,1,1.5,0.5,0.95,5,19.51,6.44381600363029,-0.764107415902148,6.5691768656958
"14198",1,1,1,1.5,0.5,0.95,5,19.61,6.44470859985818,-0.765000012130036,6.60120600692299
"14199",1,1,1,1.5,0.5,0.95,5,19.71,6.44558701539267,-0.765878427664531,6.63323514815018
"14200",1,1,1,1.5,0.5,0.95,5,19.81,6.44645147552272,-0.766742887794583,6.66526428937736
"14201",1,1,1,1.5,0.5,0.95,5,19.91,6.44730220195811,-0.767593614229969,6.69729343060455
"14202",1,1,1,1.5,0.75,0.95,5,0.01,5.32314648614849,0.356562101579655,0.323494326394576
"14203",1,1,1,1.5,0.75,0.95,5,0.11,5.35107984293028,0.328628744797858,0.355523467621762
"14204",1,1,1,1.5,0.75,0.95,5,0.21,5.37835018395701,0.301358403771137,0.387552608848948
"14205",1,1,1,1.5,0.75,0.95,5,0.31,5.40497324632373,0.274735341404414,0.419581750076134
"14206",1,1,1,1.5,0.75,0.95,5,0.41,5.4309643935957,0.248744194132443,0.45161089130332
"14207",1,1,1,1.5,0.75,0.95,5,0.51,5.4563386246743,0.223369963053839,0.483640032530505
"14208",1,1,1,1.5,0.75,0.95,5,0.61,5.48111058245259,0.198598005275557,0.515669173757691
"14209",1,1,1,1.5,0.75,0.95,5,0.71,5.50529456226534,0.174414025462807,0.547698314984877
"14210",1,1,1,1.5,0.75,0.95,5,0.81,5.5289045201386,0.150804067589544,0.579727456212063
"14211",1,1,1,1.5,0.75,0.95,5,0.91,5.55195408084338,0.12775450688476,0.611756597439248
"14212",1,1,1,1.5,0.75,0.95,5,1.01,5.5744565457582,0.105252041969939,0.643785738666434
"14213",1,1,1,1.5,0.75,0.95,5,1.11,5.59642490054501,0.0832836871831303,0.67581487989362
"14214",1,1,1,1.5,0.75,0.95,5,1.21,5.61787182264292,0.0618367650852216,0.707844021120806
"14215",1,1,1,1.5,0.75,0.95,5,1.31,5.63880968858407,0.040898899144074,0.739873162347991
"14216",1,1,1,1.5,0.75,0.95,5,1.41,5.65925058113583,0.0204580065923076,0.771902303575177
"14217",1,1,1,1.5,0.75,0.95,5,1.51,5.67920629627353,0.000502291454608672,0.803931444802363
"14218",1,1,1,1.5,0.75,0.95,5,1.61,5.6986883499876,-0.0189797622594583,0.835960586029549
"14219",1,1,1,1.5,0.75,0.95,5,1.71,5.71770798492921,-0.0379993972010679,0.867989727256735
"14220",1,1,1,1.5,0.75,0.95,5,1.81,5.73627617689815,-0.0565675891700131,0.90001886848392
"14221",1,1,1,1.5,0.75,0.95,5,1.91,5.75440364117673,-0.0746950534485905,0.932048009711106
"14222",1,1,1,1.5,0.75,0.95,5,2.01,5.77210083871329,-0.0923922509851451,0.964077150938292
"14223",1,1,1,1.5,0.75,0.95,5,2.11,5.78937798215899,-0.109669394430848,0.996106292165478
"14224",1,1,1,1.5,0.75,0.95,5,2.21,5.80624504176133,-0.126536454033185,1.02813543339266
"14225",1,1,1,1.5,0.75,0.95,5,2.31,5.8227117511177,-0.14300316338956,1.06016457461985
"14226",1,1,1,1.5,0.75,0.95,5,2.41,5.83878761279248,-0.159079025064333,1.09219371584704
"14227",1,1,1,1.5,0.75,0.95,5,2.51,5.85448190380068,-0.174773316072535,1.12422285707422
"14228",1,1,1,1.5,0.75,0.95,5,2.61,5.86980368096157,-0.190095093233424,1.15625199830141
"14229",1,1,1,1.5,0.75,0.95,5,2.71,5.88476178612511,-0.205053198396966,1.18828113952859
"14230",1,1,1,1.5,0.75,0.95,5,2.81,5.89936485127441,-0.219656263546272,1.22031028075578
"14231",1,1,1,1.5,0.75,0.95,5,2.91,5.91362130350705,-0.233912715778912,1.25233942198296
"14232",1,1,1,1.5,0.75,0.95,5,3.01,5.92753936989815,-0.24783078217001,1.28436856321015
"14233",1,1,1,1.5,0.75,0.95,5,3.11,5.94112708224804,-0.261418494519896,1.31639770443734
"14234",1,1,1,1.5,0.75,0.95,5,3.21,5.95439228171722,-0.274683693989079,1.34842684566452
"14235",1,1,1,1.5,0.75,0.95,5,3.31,5.96734262335134,-0.287634035623202,1.38045598689171
"14236",1,1,1,1.5,0.75,0.95,5,3.41,5.97998558049874,-0.300276992770594,1.41248512811889
"14237",1,1,1,1.5,0.75,0.95,5,3.51,5.99232844912311,-0.312619861394972,1.44451426934608
"14238",1,1,1,1.5,0.75,0.95,5,3.61,6.00437835201392,-0.324669764285776,1.47654341057326
"14239",1,1,1,1.5,0.75,0.95,5,3.71,6.01614224289671,-0.336433655168566,1.50857255180045
"14240",1,1,1,1.5,0.75,0.95,5,3.81,6.02762691044601,-0.347918322717863,1.54060169302764
"14241",1,1,1,1.5,0.75,0.95,5,3.91,6.03883898220288,-0.359130394474736,1.57263083425482
"14242",1,1,1,1.5,0.75,0.95,5,4.01,6.04978492839955,-0.370076340671408,1.60465997548201
"14243",1,1,1,1.5,0.75,0.95,5,4.11,6.06047106569322,-0.38076247796508,1.63668911670919
"14244",1,1,1,1.5,0.75,0.95,5,4.21,6.07090356081127,-0.391194973083128,1.66871825793638
"14245",1,1,1,1.5,0.75,0.95,5,4.31,6.08108843410993,-0.401379846381786,1.70074739916356
"14246",1,1,1,1.5,0.75,0.95,5,4.41,6.09103156304849,-0.41132297532035,1.73277654039075
"14247",1,1,1,1.5,0.75,0.95,5,4.51,6.10073868558108,-0.421030097852935,1.76480568161794
"14248",1,1,1,1.5,0.75,0.95,5,4.61,6.11021540346785,-0.430506815739712,1.79683482284512
"14249",1,1,1,1.5,0.75,0.95,5,4.71,6.1194671855077,-0.439758597779558,1.82886396407231
"14250",1,1,1,1.5,0.75,0.95,5,4.81,6.12849937069412,-0.448790782965977,1.86089310529949
"14251",1,1,1,1.5,0.75,0.95,5,4.91,6.13731717129625,-0.457608583568111,1.89292224652668
"14252",1,1,1,1.5,0.75,0.95,5,5.01,6.14592567586676,-0.466217088138622,1.92495138775387
"14253",1,1,1,1.5,0.75,0.95,5,5.11,6.15432985217832,-0.474621264450182,1.95698052898105
"14254",1,1,1,1.5,0.75,0.95,5,5.21,6.1625345500904,-0.48282596236226,1.98900967020824
"14255",1,1,1,1.5,0.75,0.95,5,5.31,6.17054450434801,-0.490835916619867,2.02103881143542
"14256",1,1,1,1.5,0.75,0.95,5,5.41,6.17836433731401,-0.498655749585868,2.05306795266261
"14257",1,1,1,1.5,0.75,0.95,5,5.51,6.18599856163659,-0.506289973908447,2.08509709388979
"14258",1,1,1,1.5,0.75,0.95,5,5.61,6.19345158285339,-0.513742995125248,2.11712623511698
"14259",1,1,1,1.5,0.75,0.95,5,5.71,6.20072770193386,-0.521019114205717,2.14915537634417
"14260",1,1,1,1.5,0.75,0.95,5,5.81,6.20783111776123,-0.528122530033087,2.18118451757135
"14261",1,1,1,1.5,0.75,0.95,5,5.91,6.21476592955561,-0.535057341827467,2.21321365879854
"14262",1,1,1,1.5,0.75,0.95,5,6.01,6.22153613923954,-0.541827551511399,2.24524280002572
"14263",1,1,1,1.5,0.75,0.95,5,6.11,6.22814565374743,-0.548437066019285,2.27727194125291
"14264",1,1,1,1.5,0.75,0.95,5,6.21,6.23459828728013,-0.554889699551986,2.30930108248009
"14265",1,1,1,1.5,0.75,0.95,5,6.31,6.24089776350605,-0.561189175777911,2.34133022370728
